municipio_id,municipio_nombre,region,pop,web,cat,cat_emoji,titulo,desc,como,url
maipu,Maipú,Región Metropolitana,600.000 hab.,https://municipalidadmaipu.cl,Salud,🏥,Tres Farmacias Municipales,"Maipú cuenta con 3 farmacias municipales con medicamentos a menor costo para toda la familia, desde crónicos hasta agudos.",Acércate a cualquiera de las 3 farmacias municipales con receta médica. Consulta ubicaciones en el sitio oficial.,https://www.municipalidadmaipu.cl/farmacia-municipal
maipu,Maipú,Región Metropolitana,600.000 hab.,https://municipalidadmaipu.cl,Salud,🏥,CESFAM y Atención Primaria gratuita,"Red de centros de salud con atención médica, dental, matrona, nutricionista y salud mental para vecinos con Fonasa.",Inscríbete en el CESFAM de tu sector con carnet y Fonasa activo.,https://municipalidadmaipu.cl
maipu,Maipú,Región Metropolitana,600.000 hab.,https://municipalidadmaipu.cl,Salud,🏥,Programa acompañamiento adultos mayores,"Talleres de buen envejecer, actividad física y acompañamiento en alianza con SENAMA para personas mayores de Maipú.",Llama al 224028201 o al WhatsApp +56 9 96373499. También puedes acercarte a la Municipalidad.,https://municipalidadmaipu.cl
maipu,Maipú,Región Metropolitana,600.000 hab.,https://municipalidadmaipu.cl,Adulto Mayor,👴,Oficina del Adulto Mayor,Entrega medicamentos y beneficios directamente a personas mayores. Atención personalizada y visitas domiciliarias.,Llama al 224028201 o al WhatsApp +56 9 96373499.,https://municipalidadmaipu.cl
maipu,Maipú,Región Metropolitana,600.000 hab.,https://municipalidadmaipu.cl,Adulto Mayor,👴,Tarjeta Beneficios Maipú,"Tarjeta con descuentos en salud, farmacias, peluquerías y otros servicios para vecinos residentes en Maipú.",Solicita tu tarjeta con carnet de identidad y acreditando residencia en Maipú en la Municipalidad.,https://www.municipalidadmaipu.cl/informese-de-los-multiples-descuentos-de-la-tarjeta-beneficios-maipu/
maipu,Maipú,Región Metropolitana,600.000 hab.,https://municipalidadmaipu.cl,Educación y Becas,🎓,Becas municipales escolares y superiores,"Apoyo económico para estudiantes de Maipú en vulnerabilidad. Becas para básica, media y educación superior.","Postula en marzo en la Municipalidad con RSH, notas y certificado de matricula.",https://municipalidadmaipu.cl/becas-y-estudios
maipu,Maipú,Región Metropolitana,600.000 hab.,https://municipalidadmaipu.cl,Social y Legal,⚖️,Dirección de Desarrollo Social,"Atención de urgencias sociales, orientación en subsidios, asesoría jurídica y apoyo a familias vulnerables de Maipú.",Acércate a la Dirección de Desarrollo Social con carnet de identidad.,https://municipalidadmaipu.cl
maipu,Maipú,Región Metropolitana,600.000 hab.,https://municipalidadmaipu.cl,Social y Legal,⚖️,Mediación vecinal gratuita,Puedes resolver gratis conflictos con tus vecinos o comunidad con ayuda de un mediador.,Ve a la Dirección de Desarrollo Comunitario y solicita la mediación.,https://www.municipalidadmaipu.cl/
puentealto,Puente Alto,Región Metropolitana,600.000 hab.,https://mpuentealto.cl,Salud,🏥,Farmacia Solidaria Municipal,Medicamentos a precio accesible para vecinos de Puente Alto. Solo necesitas cédula de identidad vigente para inscribirte.,Inscríbete en la Farmacia Solidaria con cédula de identidad vigente.,https://www.mpuentealto.cl/farmacia-solidaria/
puentealto,Puente Alto,Región Metropolitana,600.000 hab.,https://mpuentealto.cl,Salud,🏥,CESFAM y Atención Primaria,"Red de centros de salud con médico, dental, matrona y salud mental. Más de 2.500 exámenes preventivos anuales.",Inscríbete en el CESFAM de tu sector o revisa los centros en cmpuentealto.cl.,https://www.cmpuentealto.cl/centros-de-salud/
puentealto,Puente Alto,Región Metropolitana,600.000 hab.,https://mpuentealto.cl,Educación y Becas,🎓,Becas Municipales — Educación Superior y Útiles,Beca Municipal de Educación Superior y Beca de Uniformes y Útiles Escolares para familias en vulnerabilidad.,Revisa el proceso en datos.mpuentealto.cl o acércate al Departamento de Acción Social.,https://datos.mpuentealto.cl/dashboards/21617/becas-municipales/
